# T, C, S, K
300.0000 700.0000 260.0000 0.7000
305.0000 687.4350 259.8250 0.7009
310.0000 675.0400 259.6333 0.7018
315.0000 662.8150 259.4250 0.7029
320.0000 650.7600 259.2000 0.7040
325.0000 638.8750 258.9583 0.7052
330.0000 627.1600 258.7000 0.7065
335.0000 615.6150 258.4250 0.7079
340.0000 604.2400 258.1333 0.7093
345.0000 593.0350 257.8250 0.7109
350.0000 582.0000 257.5000 0.7125
355.0000 571.1350 257.1583 0.7142
360.0000 560.4400 256.8000 0.7160
365.0000 549.9150 256.4250 0.7179
370.0000 539.5600 256.0333 0.7198
375.0000 529.3750 255.6250 0.7219
380.0000 519.3600 255.2000 0.7240
385.0000 509.5150 254.7583 0.7262
390.0000 499.8400 254.3000 0.7285
395.0000 490.3350 253.8250 0.7309
400.0000 481.0000 253.3333 0.7333
405.0000 471.8350 252.8250 0.7359
410.0000 462.8400 252.3000 0.7385
415.0000 454.0150 251.7583 0.7412
420.0000 445.3600 251.2000 0.7440
425.0000 436.8750 250.6250 0.7469
430.0000 428.5600 250.0333 0.7498
435.0000 420.4150 249.4250 0.7529
440.0000 412.4400 248.8000 0.7560
445.0000 404.6350 248.1583 0.7592
450.0000 397.0000 247.5000 0.7625
455.0000 389.5350 246.8250 0.7659
460.0000 382.2400 246.1333 0.7693
465.0000 375.1150 245.4250 0.7729
470.0000 368.1600 244.7000 0.7765
475.0000 361.3750 243.9583 0.7802
480.0000 354.7600 243.2000 0.7840
485.0000 348.3150 242.4250 0.7879
490.0000 342.0400 241.6333 0.7918
495.0000 335.9350 240.8250 0.7959
500.0000 330.0000 240.0000 0.8000
505.0000 324.2350 239.1583 0.8042
510.0000 318.6400 238.3000 0.8085
515.0000 313.2150 237.4250 0.8129
520.0000 307.9600 236.5333 0.8173
525.0000 302.8750 235.6250 0.8219
530.0000 297.9600 234.7000 0.8265
535.0000 293.2150 233.7583 0.8312
540.0000 288.6400 232.8000 0.8360
545.0000 284.2350 231.8250 0.8409
550.0000 280.0000 230.8333 0.8458
555.0000 275.9350 229.8250 0.8509
560.0000 272.0400 228.8000 0.8560
565.0000 268.3150 227.7583 0.8612
570.0000 264.7600 226.7000 0.8665
575.0000 261.3750 225.6250 0.8719
580.0000 258.1600 224.5333 0.8773
585.0000 255.1150 223.4250 0.8829
590.0000 252.2400 222.3000 0.8885
595.0000 249.5350 221.1583 0.8942
600.0000 247.0000 220.0000 0.9000
605.0000 244.6350 218.8250 0.9059
610.0000 242.4400 217.6333 0.9118
615.0000 240.4150 216.4250 0.9179
620.0000 238.5600 215.2000 0.9240
625.0000 236.8750 213.9583 0.9302
630.0000 235.3600 212.7000 0.9365
635.0000 234.0150 211.4250 0.9429
640.0000 232.8400 210.1333 0.9493
645.0000 231.8350 208.8250 0.9559
650.0000 231.0000 207.5000 0.9625
655.0000 230.3350 206.1583 0.9692
660.0000 229.8400 204.8000 0.9760
665.0000 229.5150 203.4250 0.9829
670.0000 229.3600 202.0333 0.9898
675.0000 229.3750 200.6250 0.9969
680.0000 229.5600 199.2000 1.0040
685.0000 229.9150 197.7583 1.0112
690.0000 230.4400 196.3000 1.0185
695.0000 231.1350 194.8250 1.0259
700.0000 232.0000 193.3333 1.0333
705.0000 233.0350 191.8250 1.0409
710.0000 234.2400 190.3000 1.0485
715.0000 235.6150 188.7583 1.0562
720.0000 237.1600 187.2000 1.0640
725.0000 238.8750 185.6250 1.0719
730.0000 240.7600 184.0333 1.0798
735.0000 242.8150 182.4250 1.0879
740.0000 245.0400 180.8000 1.0960
745.0000 247.4350 179.1583 1.1042
750.0000 250.0000 177.5000 1.1125
755.0000 252.7350 175.8250 1.1209
760.0000 255.6400 174.1333 1.1293
765.0000 258.7150 172.4250 1.1379
770.0000 261.9600 170.7000 1.1465
775.0000 265.3750 168.9583 1.1552
780.0000 268.9600 167.2000 1.1640
785.0000 272.7150 165.4250 1.1729
790.0000 276.6400 163.6333 1.1818
795.0000 280.7350 161.8250 1.1909
800.0000 285.0000 160.0000 1.2000
