# T, C, S, K
300.0000 200.0000 170.0000 2.0000
305.0000 202.6613 171.4550 1.9761
310.0000 205.2950 172.8867 1.9524
315.0000 207.9013 174.2950 1.9289
320.0000 210.4800 175.6800 1.9056
325.0000 213.0313 177.0417 1.8825
330.0000 215.5550 178.3800 1.8596
335.0000 218.0513 179.6950 1.8369
340.0000 220.5200 180.9867 1.8144
345.0000 222.9613 182.2550 1.7921
350.0000 225.3750 183.5000 1.7700
355.0000 227.7613 184.7217 1.7481
360.0000 230.1200 185.9200 1.7264
365.0000 232.4513 187.0950 1.7049
370.0000 234.7550 188.2467 1.6836
375.0000 237.0313 189.3750 1.6625
380.0000 239.2800 190.4800 1.6416
385.0000 241.5013 191.5617 1.6209
390.0000 243.6950 192.6200 1.6004
395.0000 245.8613 193.6550 1.5801
400.0000 248.0000 194.6667 1.5600
405.0000 250.1113 195.6550 1.5401
410.0000 252.1950 196.6200 1.5204
415.0000 254.2513 197.5617 1.5009
420.0000 256.2800 198.4800 1.4816
425.0000 258.2813 199.3750 1.4625
430.0000 260.2550 200.2467 1.4436
435.0000 262.2013 201.0950 1.4249
440.0000 264.1200 201.9200 1.4064
445.0000 266.0113 202.7217 1.3881
450.0000 267.8750 203.5000 1.3700
455.0000 269.7113 204.2550 1.3521
460.0000 271.5200 204.9867 1.3344
465.0000 273.3013 205.6950 1.3169
470.0000 275.0550 206.3800 1.2996
475.0000 276.7813 207.0417 1.2825
480.0000 278.4800 207.6800 1.2656
485.0000 280.1513 208.2950 1.2489
490.0000 281.7950 208.8867 1.2324
495.0000 283.4113 209.4550 1.2161
500.0000 285.0000 210.0000 1.2000
505.0000 286.5613 210.5217 1.1841
510.0000 288.0950 211.0200 1.1684
515.0000 289.6013 211.4950 1.1529
520.0000 291.0800 211.9467 1.1376
525.0000 292.5313 212.3750 1.1225
530.0000 293.9550 212.7800 1.1076
535.0000 295.3513 213.1617 1.0929
540.0000 296.7200 213.5200 1.0784
545.0000 298.0613 213.8550 1.0641
550.0000 299.3750 214.1667 1.0500
555.0000 300.6613 214.4550 1.0361
560.0000 301.9200 214.7200 1.0224
565.0000 303.1513 214.9617 1.0089
570.0000 304.3550 215.1800 0.9956
575.0000 305.5313 215.3750 0.9825
580.0000 306.6800 215.5467 0.9696
585.0000 307.8013 215.6950 0.9569
590.0000 308.8950 215.8200 0.9444
595.0000 309.9613 215.9217 0.9321
600.0000 311.0000 216.0000 0.9200
605.0000 312.0113 216.0550 0.9081
610.0000 312.9950 216.0867 0.8964
615.0000 313.9513 216.0950 0.8849
620.0000 314.8800 216.0800 0.8736
625.0000 315.7813 216.0417 0.8625
630.0000 316.6550 215.9800 0.8516
635.0000 317.5013 215.8950 0.8409
640.0000 318.3200 215.7867 0.8304
645.0000 319.1113 215.6550 0.8201
650.0000 319.8750 215.5000 0.8100
655.0000 320.6113 215.3217 0.8001
660.0000 321.3200 215.1200 0.7904
665.0000 322.0013 214.8950 0.7809
670.0000 322.6550 214.6467 0.7716
675.0000 323.2812 214.3750 0.7625
680.0000 323.8800 214.0800 0.7536
685.0000 324.4512 213.7617 0.7449
690.0000 324.9950 213.4200 0.7364
695.0000 325.5112 213.0550 0.7281
700.0000 326.0000 212.6667 0.7200
705.0000 326.4612 212.2550 0.7121
710.0000 326.8950 211.8200 0.7044
715.0000 327.3012 211.3617 0.6969
720.0000 327.6800 210.8800 0.6896
725.0000 328.0312 210.3750 0.6825
730.0000 328.3550 209.8467 0.6756
735.0000 328.6512 209.2950 0.6689
740.0000 328.9200 208.7200 0.6624
745.0000 329.1612 208.1217 0.6561
750.0000 329.3750 207.5000 0.6500
755.0000 329.5612 206.8550 0.6441
760.0000 329.7200 206.1867 0.6384
765.0000 329.8512 205.4950 0.6329
770.0000 329.9550 204.7800 0.6276
775.0000 330.0312 204.0417 0.6225
780.0000 330.0800 203.2800 0.6176
785.0000 330.1012 202.4950 0.6129
790.0000 330.0950 201.6867 0.6084
795.0000 330.0612 200.8550 0.6041
800.0000 330.0000 200.0000 0.6000
